Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
78,24,6,141,7,Some Random Commen with Id 78
79,24,6,137,8,Some Random Commen with Id 79
80,25,5,64,4,Some Random Commen with Id 80
81,25,5,8,3,Some Random Commen with Id 81
82,25,5,22,5,Some Random Commen with Id 82
83,25,5,179,8,Some Random Commen with Id 83
84,26,7,92,5,Some Random Commen with Id 84
85,26,7,8,5,Some Random Commen with Id 85
86,26,7,68,4,Some Random Commen with Id 86
87,28,0,89,1,Some Random Commen with Id 87
88,28,0,179,9,Some Random Commen with Id 88
89,29,3,149,9,Some Random Commen with Id 89
90,29,3,128,6,Some Random Commen with Id 90
91,29,3,114,3,Some Random Commen with Id 91
92,29,3,138,3,Some Random Commen with Id 92
93,29,3,83,5,Some Random Commen with Id 93
94,29,3,178,4,Some Random Commen with Id 94
95,29,3,130,9,Some Random Commen with Id 95
96,29,3,49,2,Some Random Commen with Id 96
97,30,7,140,6,Some Random Commen with Id 97
98,30,7,8,2,Some Random Commen with Id 98
99,31,5,57,7,Some Random Commen with Id 99
100,31,5,62,3,Some Random Commen with Id 100
101,31,5,73,8,Some Random Commen with Id 101
102,31,5,10,0,Some Random Commen with Id 102
103,31,5,127,2,Some Random Commen with Id 103
104,31,5,17,9,Some Random Commen with Id 104
105,31,5,150,7,Some Random Commen with Id 105
106,32,4,199,8,Some Random Commen with Id 106
107,33,1,176,9,Some Random Commen with Id 107
108,34,9,25,5,Some Random Commen with Id 108
109,34,9,180,0,Some Random Commen with Id 109
110,34,9,29,5,Some Random Commen with Id 110
111,35,0,93,7,Some Random Commen with Id 111
112,35,0,65,1,Some Random Commen with Id 112
113,36,6,154,1,Some Random Commen with Id 113
114,37,1,98,9,Some Random Commen with Id 114
115,37,1,84,7,Some Random Commen with Id 115
116,37,1,21,8,Some Random Commen with Id 116
117,37,1,83,8,Some Random Commen with Id 117
118,37,1,25,9,Some Random Commen with Id 118
119,37,1,25,6,Some Random Commen with Id 119
120,38,6,153,6,Some Random Commen with Id 120
121,38,6,30,8,Some Random Commen with Id 121
122,38,6,158,6,Some Random Commen with Id 122
123,38,6,159,3,Some Random Commen with Id 123
124,38,6,186,9,Some Random Commen with Id 124
125,38,6,158,5,Some Random Commen with Id 125
126,38,6,44,1,Some Random Commen with Id 126
127,38,6,141,5,Some Random Commen with Id 127
128,39,8,85,5,Some Random Commen with Id 128
129,39,8,137,1,Some Random Commen with Id 129
130,39,8,54,1,Some Random Commen with Id 130
131,39,8,2,0,Some Random Commen with Id 131
132,39,8,149,3,Some Random Commen with Id 132
